Subject	Experiment	Sex	Age	TrialStartTime	Block	Trial	Target1_Label	Target1_Location	Target2_Label	Target2_Location	Target3_Label	Target3_Location	Target4_Label	Target4_Location	Target5_Label	Target5_Location	Target6_Label	Target6_Location	Best_Label	TargetNum	Best_Location	Best_Payment	Best_Penalty	Best_Mprob	Best_Signal	Covered	Warning	Action	Outcome	Caught
10338588	peSSE-FI	female	43	1524847593750	0	1	R0T1	3	R0T2	2	R0T3	4	R0T4	1	R0T5	6	R0T6	5	R0T1	1	3	5	3	0.41	0.42	0	0	1	5	0
10338588	peSSE-FI	female	43	1524847597038	0	2	R0T1	3	R0T2	2	R0T3	4	R0T4	1	R0T5	6	R0T6	5	R0T5	5	6	5	7	0.27	0.52	0	0	1	5	0
10338588	peSSE-FI	female	43	1524847607416	0	3	R0T1	3	R0T2	2	R0T3	4	R0T4	1	R0T5	6	R0T6	5	R0T3	3	4	7	6	0.41	0.6	1	1	0	0	0
10338588	peSSE-FI	female	43	1524847618098	0	4	R0T1	3	R0T2	2	R0T3	4	R0T4	1	R0T5	6	R0T6	5	R0T4	4	1	8	9	0.37	0.66	0	0	1	8	0
10338588	peSSE-FI	female	43	1524847623510	0	5	R0T1	3	R0T2	2	R0T3	4	R0T4	1	R0T5	6	R0T6	5	R0T2	2	2	8	5	0.48	0.58	0	1	0	0	0
10338588	peSSE-FI	female	43	1524847634220	1	1	R1T1	2	R1T2	6	R1T3	4	R1T4	1	R1T5	3	R1T6	5	R1T6	6	5	5	5	0.36	0.56	1	1	1	-5	1
10338588	peSSE-FI	female	43	1524847646550	1	2	R1T1	2	R1T2	6	R1T3	4	R1T4	1	R1T5	3	R1T6	5	R1T2	2	6	8	5	0.51	0.65	1	1	1	-5	1
10338588	peSSE-FI	female	43	1524847654260	1	3	R1T1	2	R1T2	6	R1T3	4	R1T4	1	R1T5	3	R1T6	5	R1T3	3	4	9	9	0.42	0.72	0	1	0	0	0
10338588	peSSE-FI	female	43	1524847661332	1	4	R1T1	2	R1T2	6	R1T3	4	R1T4	1	R1T5	3	R1T6	5	R1T1	1	2	2	1	0.22	0.14	0	0	1	2	0
10338588	peSSE-FI	female	43	1524847665180	1	5	R1T1	2	R1T2	6	R1T3	4	R1T4	1	R1T5	3	R1T6	5	R1T1	1	2	2	1	0.22	0.14	1	1	1	-1	1
10338588	peSSE-FI	female	43	1524847671432	1	6	R1T1	2	R1T2	6	R1T3	4	R1T4	1	R1T5	3	R1T6	5	R1T6	6	5	5	5	0.36	0.56	0	1	0	0	0
10338588	peSSE-FI	female	43	1524847680218	1	7	R1T1	2	R1T2	6	R1T3	4	R1T4	1	R1T5	3	R1T6	5	R1T3	3	4	9	9	0.42	0.72	1	1	1	-9	1
10338588	peSSE-FI	female	43	1524847686764	1	8	R1T1	2	R1T2	6	R1T3	4	R1T4	1	R1T5	3	R1T6	5	R1T4	4	1	9	10	0.4	0.74	0	0	1	9	0
10338588	peSSE-FI	female	43	1524847691956	1	9	R1T1	2	R1T2	6	R1T3	4	R1T4	1	R1T5	3	R1T6	5	R1T4	4	1	9	10	0.4	0.74	1	1	0	0	0
10338588	peSSE-FI	female	43	1524847696354	1	10	R1T1	2	R1T2	6	R1T3	4	R1T4	1	R1T5	3	R1T6	5	R1T1	1	2	2	1	0.22	0.14	0	1	1	2	0
10338588	peSSE-FI	female	43	1524847699930	1	11	R1T1	2	R1T2	6	R1T3	4	R1T4	1	R1T5	3	R1T6	5	R1T2	2	6	8	5	0.51	0.65	1	1	1	-5	1
10338588	peSSE-FI	female	43	1524847707776	1	12	R1T1	2	R1T2	6	R1T3	4	R1T4	1	R1T5	3	R1T6	5	R1T4	4	1	9	10	0.4	0.74	1	1	0	0	0
10338588	peSSE-FI	female	43	1524847714606	1	13	R1T1	2	R1T2	6	R1T3	4	R1T4	1	R1T5	3	R1T6	5	R1T1	1	2	2	1	0.22	0.14	1	1	1	-1	1
10338588	peSSE-FI	female	43	1524847718256	1	14	R1T1	2	R1T2	6	R1T3	4	R1T4	1	R1T5	3	R1T6	5	R1T5	5	3	2	6	0.08	0.26	0	1	1	2	0
10338588	peSSE-FI	female	43	1524847723846	1	15	R1T1	2	R1T2	6	R1T3	4	R1T4	1	R1T5	3	R1T6	5	R1T6	6	5	5	5	0.36	0.56	0	1	0	0	0
10338588	peSSE-FI	female	43	1524847731540	1	16	R1T1	2	R1T2	6	R1T3	4	R1T4	1	R1T5	3	R1T6	5	R1T5	5	3	2	6	0.08	0.26	0	0	1	2	0
10338588	peSSE-FI	female	43	1524847734870	1	17	R1T1	2	R1T2	6	R1T3	4	R1T4	1	R1T5	3	R1T6	5	R1T4	4	1	9	10	0.4	0.74	0	0	1	9	0
10338588	peSSE-FI	female	43	1524847743050	1	18	R1T1	2	R1T2	6	R1T3	4	R1T4	1	R1T5	3	R1T6	5	R1T6	6	5	5	5	0.36	0.56	0	0	1	5	0
10338588	peSSE-FI	female	43	1524847749762	1	19	R1T1	2	R1T2	6	R1T3	4	R1T4	1	R1T5	3	R1T6	5	R1T1	1	2	2	1	0.22	0.14	0	0	1	2	0
10338588	peSSE-FI	female	43	1524847755696	1	20	R1T1	2	R1T2	6	R1T3	4	R1T4	1	R1T5	3	R1T6	5	R1T4	4	1	9	10	0.4	0.74	0	1	0	0	0
10338588	peSSE-FI	female	43	1524847762102	1	21	R1T1	2	R1T2	6	R1T3	4	R1T4	1	R1T5	3	R1T6	5	R1T5	5	3	2	6	0.08	0.26	0	0	1	2	0
10338588	peSSE-FI	female	43	1524847765470	1	22	R1T1	2	R1T2	6	R1T3	4	R1T4	1	R1T5	3	R1T6	5	R1T2	2	6	8	5	0.51	0.65	1	1	0	0	0
10338588	peSSE-FI	female	43	1524847780762	1	23	R1T1	2	R1T2	6	R1T3	4	R1T4	1	R1T5	3	R1T6	5	R1T4	4	1	9	10	0.4	0.74	0	1	0	0	0
10338588	peSSE-FI	female	43	1524847785880	1	24	R1T1	2	R1T2	6	R1T3	4	R1T4	1	R1T5	3	R1T6	5	R1T6	6	5	5	5	0.36	0.56	0	0	1	5	0
10338588	peSSE-FI	female	43	1524847791930	1	25	R1T1	2	R1T2	6	R1T3	4	R1T4	1	R1T5	3	R1T6	5	R1T1	1	2	2	1	0.22	0.14	1	1	0	0	0
10338588	peSSE-FI	female	43	1524847799704	2	1	R2T1	4	R2T2	2	R2T3	1	R2T4	5	R2T5	3	R2T6	6	R2T5	5	3	5	7	0.27	0.52	1	1	0	0	0
10338588	peSSE-FI	female	43	1524847813050	2	2	R2T1	4	R2T2	2	R2T3	1	R2T4	5	R2T5	3	R2T6	6	R2T6	6	6	2	4	0.05	0.11	0	0	1	2	0
10338588	peSSE-FI	female	43	1524847815762	2	3	R2T1	4	R2T2	2	R2T3	1	R2T4	5	R2T5	3	R2T6	6	R2T3	3	1	7	6	0.41	0.6	1	1	0	0	0
10338588	peSSE-FI	female	43	1524847820592	2	4	R2T1	4	R2T2	2	R2T3	1	R2T4	5	R2T5	3	R2T6	6	R2T4	4	5	8	9	0.37	0.66	0	1	0	0	0
10338588	peSSE-FI	female	43	1524847824160	2	5	R2T1	4	R2T2	2	R2T3	1	R2T4	5	R2T5	3	R2T6	6	R2T2	2	2	8	5	0.48	0.58	0	0	1	8	0
10338588	peSSE-FI	female	43	1524847827242	2	6	R2T1	4	R2T2	2	R2T3	1	R2T4	5	R2T5	3	R2T6	6	R2T1	1	4	5	3	0.41	0.42	0	1	0	0	0
10338588	peSSE-FI	female	43	1524847831978	2	7	R2T1	4	R2T2	2	R2T3	1	R2T4	5	R2T5	3	R2T6	6	R2T6	6	6	2	4	0.05	0.11	0	0	1	2	0
10338588	peSSE-FI	female	43	1524847835866	2	8	R2T1	4	R2T2	2	R2T3	1	R2T4	5	R2T5	3	R2T6	6	R2T3	3	1	7	6	0.41	0.6	0	1	0	0	0
10338588	peSSE-FI	female	43	1524847840652	2	9	R2T1	4	R2T2	2	R2T3	1	R2T4	5	R2T5	3	R2T6	6	R2T2	2	2	8	5	0.48	0.58	0	0	1	8	0
10338588	peSSE-FI	female	43	1524847844346	2	10	R2T1	4	R2T2	2	R2T3	1	R2T4	5	R2T5	3	R2T6	6	R2T6	6	6	2	4	0.05	0.11	0	0	1	2	0
10338588	peSSE-FI	female	43	1524847849520	2	11	R2T1	4	R2T2	2	R2T3	1	R2T4	5	R2T5	3	R2T6	6	R2T4	4	5	8	9	0.37	0.66	0	0	1	8	0
10338588	peSSE-FI	female	43	1524847854030	2	12	R2T1	4	R2T2	2	R2T3	1	R2T4	5	R2T5	3	R2T6	6	R2T2	2	2	8	5	0.48	0.58	0	1	0	0	0
10338588	peSSE-FI	female	43	1524847859522	2	13	R2T1	4	R2T2	2	R2T3	1	R2T4	5	R2T5	3	R2T6	6	R2T6	6	6	2	4	0.05	0.11	0	0	1	2	0
10338588	peSSE-FI	female	43	1524847861628	2	14	R2T1	4	R2T2	2	R2T3	1	R2T4	5	R2T5	3	R2T6	6	R2T1	1	4	5	3	0.41	0.42	1	1	0	0	0
10338588	peSSE-FI	female	43	1524847866254	2	15	R2T1	4	R2T2	2	R2T3	1	R2T4	5	R2T5	3	R2T6	6	R2T5	5	3	5	7	0.27	0.52	0	1	0	0	0
10338588	peSSE-FI	female	43	1524847869792	2	16	R2T1	4	R2T2	2	R2T3	1	R2T4	5	R2T5	3	R2T6	6	R2T6	6	6	2	4	0.05	0.11	0	0	1	2	0
10338588	peSSE-FI	female	43	1524847872852	2	17	R2T1	4	R2T2	2	R2T3	1	R2T4	5	R2T5	3	R2T6	6	R2T3	3	1	7	6	0.41	0.6	0	1	0	0	0
10338588	peSSE-FI	female	43	1524847878522	2	18	R2T1	4	R2T2	2	R2T3	1	R2T4	5	R2T5	3	R2T6	6	R2T2	2	2	8	5	0.48	0.58	1	1	0	0	0
10338588	peSSE-FI	female	43	1524847880884	2	19	R2T1	4	R2T2	2	R2T3	1	R2T4	5	R2T5	3	R2T6	6	R2T6	6	6	2	4	0.05	0.11	0	0	1	2	0
10338588	peSSE-FI	female	43	1524847883216	2	20	R2T1	4	R2T2	2	R2T3	1	R2T4	5	R2T5	3	R2T6	6	R2T4	4	5	8	9	0.37	0.66	0	0	1	8	0
10338588	peSSE-FI	female	43	1524847888928	2	21	R2T1	4	R2T2	2	R2T3	1	R2T4	5	R2T5	3	R2T6	6	R2T6	6	6	2	4	0.05	0.11	0	0	1	2	0
10338588	peSSE-FI	female	43	1524847894392	2	22	R2T1	4	R2T2	2	R2T3	1	R2T4	5	R2T5	3	R2T6	6	R2T2	2	2	8	5	0.48	0.58	1	1	0	0	0
